"item","Año","Genero","Institución educativa","Deporte","Rol","Ciudad","Departamento"
"647","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"648","2024","Hombre","Gimnasio Comfacasanare","Baloncesto","Deportista","Yopal","Casanare"
"649","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"650","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto 3x3","Deportista","Yopal","Casanare"
"651","2024","Hombre","Liceo Pedagogico San Martin","Ajedrez Integrado","Deportista","Yopal","Casanare"
"652","2024","Hombre","Gimnasio Comfacasanare","Baloncesto","Deportista","Yopal","Casanare"
"653","2024","Hombre","Colegio Bethel","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"654","2024","Hombre","Colegio Alianza Pedagogica","Voleibol","Deportista","Yopal","Casanare"
"655","2024","Hombre","IE Lucila Piragauta","Fútbol Sala","Deportista","Yopal","Casanare"
"656","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"657","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"658","2024","Hombre","Liceo Escolar los Ángeles","Karate Do","Deportista","Yopal","Casanare"
"659","2024","Hombre","IE El Paraiso","Voleibol","Deportista","Yopal","Casanare"
"660","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"661","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"662","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"663","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Atletismo","Deportista","Yopal","Casanare"
"664","2024","Hombre","IE Lucila Piragauta","Fútbol Sala","Deportista","Yopal","Casanare"
"665","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"666","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"667","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"668","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"669","2024","Hombre","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"670","2024","Hombre","IE El Triunfo","Fútbol de Salón","Deportista","Yopal","Casanare"
"671","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"672","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"673","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"674","2024","Hombre","IE Braulio Gonzalez","Fútbol Sala","Deportista","Yopal","Casanare"
"675","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"676","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"677","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"678","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"679","2024","Hombre","IE La Campiña","Voleibol","Deportista","Yopal","Casanare"
"680","2024","Hombre","Gimnasio Thomas Jefferson","Fútbol de Salón","Deportista","Yopal","Casanare"
"681","2024","Hombre","IE Manuela Beltran","Baloncesto","Deportista","Yopal","Casanare"
"682","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol de Salón","Deportista","Yopal","Casanare"
"683","2024","Hombre","Liceo Pedagogico San Martin","Fútbol de Salón","Deportista","Yopal","Casanare"
"684","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol","Deportista","Yopal","Casanare"
"685","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"686","2024","Hombre","Colegio San Mateo Apostol","Fútbol de Salón","Deportista","Yopal","Casanare"
"687","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"688","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"689","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"690","2024","Hombre","Liceo Gustavo Matamoros Leon","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"691","2024","Hombre","Colegio Alianza Pedagogica","Fútbol de Salón","Deportista","Yopal","Casanare"
"692","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"693","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"694","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Fútbol Sala","Deportista","Yopal","Casanare"
"695","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"696","2024","Hombre","Institucion Educativa Isaac Newton","Fútbol de Salón","Deportista","Yopal","Casanare"
"697","2024","Hombre","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"698","2024","Hombre","IE Policarpa Salavarrieta","Baloncesto","Deportista","Yopal","Casanare"
"699","2024","Mujer","IE Divino Salvador","Fútbol Sala","Deportista","Yopal","Casanare"
"700","2024","Hombre","Instituto Tecnico Empresarial","Fútbol de Salón","Deportista","Yopal","Casanare"
"701","2024","Mujer","Colegio Bethel","Voleibol","Deportista","Yopal","Casanare"
"702","2024","Hombre","IE Antonio Nariño","Fútbol de Salón","Deportista","Yopal","Casanare"
"703","2024","Hombre","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"704","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"705","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"706","2024","Hombre","IE La Campiña","Baloncesto","Deportista","Yopal","Casanare"
"707","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol Sala","Deportista","Yopal","Casanare"
"708","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol","Deportista","Yopal","Casanare"
"709","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Tejo","Deportista","Yopal","Casanare"
"710","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol de Salón","Deportista","Yopal","Casanare"
"711","2024","Mujer","IE Divino Salvador","Fútbol Sala","Deportista","Yopal","Casanare"
"712","2024","Mujer","Gimnasio Moderno Franceso  Forgione","Ajedrez Integrado","Deportista","Yopal","Casanare"
"713","2024","Mujer","IE Técnica Agropecuaria Lorgio Rodríguez","Fútbol de Salón","Deportista","Yopal","Casanare"
"714","2024","Hombre","Colegio Bethel","Fútbol","Deportista","Yopal","Casanare"
"715","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Voleibol","Deportista","Yopal","Casanare"
"716","2024","Mujer","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"717","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"718","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"719","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"720","2024","Mujer","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"721","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"722","2024","Mujer","IE La Campiña","Patinaje","Deportista","Yopal","Casanare"
"723","2024","Mujer","Liceo Gustavo Matamoros Leon","Porrismo","Deportista","Yopal","Casanare"
"724","2024","Mujer","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"725","2024","Hombre","IE Santa Teresa","Fútbol de Salón","Deportista","Yopal","Casanare"
"726","2024","Hombre","IE Carlos Lleras Restrepo","Fútbol de Salón","Deportista","Yopal","Casanare"
"727","2024","Hombre","IE Santa Teresa","Fútbol de Salón","Deportista","Yopal","Casanare"
"728","2024","Hombre","IE Luis Hernandez Vargas","Mini Baloncesto","Deportista","Yopal","Casanare"
"729","2024","Hombre","Gimnasio Comfacasanare","Baloncesto","Deportista","Yopal","Casanare"
"730","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"731","2024","Hombre","IE Antonio Nariño","Fútbol Sala","Deportista","Yopal","Casanare"
"732","2024","Hombre","IE Braulio Gonzalez","Baloncesto","Deportista","Yopal","Casanare"
"733","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"734","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"735","2024","Hombre","IE Braulio Gonzalez","Taekwondo","Deportista","Yopal","Casanare"
"736","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"737","2024","Hombre","Liceo Pedagogico San Martin","Fútbol de Salón","Deportista","Yopal","Casanare"
"738","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto","Deportista","Yopal","Casanare"
"739","2024","Hombre","Colegio Alianza Pedagogica","Tenis de Mesa","Deportista","Yopal","Casanare"
"740","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"741","2024","Hombre","Colegio Alianza Pedagogica","Fútbol Sala","Deportista","Yopal","Casanare"
"742","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"743","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"744","2024","Hombre","Instituto Tecnico Empresarial","Ajedrez Integrado","Deportista","Yopal","Casanare"
"745","2024","Hombre","Instituto Tecnico Empresarial","Fútbol","Deportista","Yopal","Casanare"
"746","2024","Hombre","Liceo Pedagogico San Martin","Fútbol Sala","Deportista","Yopal","Casanare"
"747","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol de Salón","Deportista","Yopal","Casanare"
"748","2024","Hombre","Instituto Tecnico Empresarial","Fútbol Sala","Deportista","Yopal","Casanare"
"749","2024","Hombre","IE Centro Social","Fútbol","Deportista","Yopal","Casanare"
"750","2024","Hombre","IE La Campiña","Fútbol de Salón","Deportista","Yopal","Casanare"
"751","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol de Salón","Deportista","Yopal","Casanare"
"752","2024","Hombre","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"753","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"754","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"755","2024","Hombre","Colegio San Mateo Apostol","Fútbol de Salón","Deportista","Yopal","Casanare"
"756","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"757","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"758","2024","Hombre","IE Centro Social","Baloncesto","Deportista","Yopal","Casanare"
"759","2024","Hombre","IE Manuela Beltran","Tenis de Campo","Deportista","Yopal","Casanare"
"760","2024","Hombre","IE Manuela Beltran","Atletismo","Deportista","Yopal","Casanare"
"761","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"762","2024","Hombre","Colegio Alianza Pedagogica","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"763","2024","Hombre","Liceo de la Sabana","Tejo","Deportista","Yopal","Casanare"
"764","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"765","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"766","2024","Hombre","IE La Campiña","Voleibol","Deportista","Yopal","Casanare"
"767","2024","Hombre","IE El Paraiso","Fútbol Sala","Deportista","Yopal","Casanare"
"768","2024","Hombre","Liceo Infantil Siglo XXI","Fútbol Sala","Deportista","Yopal","Casanare"
"769","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"770","2024","Hombre","Colegio Bethel","Fútbol Sala","Deportista","Yopal","Casanare"
"771","2024","Hombre","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"772","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"773","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"774","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"775","2024","Hombre","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"776","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol Sala","Deportista","Yopal","Casanare"
"777","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"778","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"779","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"780","2024","Mujer","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"781","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Boxeo","Deportista","Yopal","Casanare"
"782","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"783","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol Sala","Deportista","Yopal","Casanare"
"784","2024","Hombre","Colegio San Mateo Apostol","Baloncesto","Deportista","Yopal","Casanare"
"785","2024","Mujer","Gimnasio Comfacasanare","Atletismo","Deportista","Yopal","Casanare"
"786","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Judo","Deportista","Yopal","Casanare"
"787","2024","Mujer","Institucion Educativa Megacolegio El Progreso","Fútbol Sala","Deportista","Yopal","Casanare"
"788","2024","Mujer","IE Lucila Piragauta","Judo","Deportista","Yopal","Casanare"
"789","2024","Mujer","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"790","2024","Mujer","IE Braulio Gonzalez","Voleibol","Deportista","Yopal","Casanare"
"791","2024","Mujer","Liceo Moderno Celestin Freinet Casanare","Fútbol Sala","Deportista","Yopal","Casanare"
"792","2024","Hombre","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"793","2024","Hombre","Liceo de la Sabana","Tenis de Mesa","Deportista","Yopal","Casanare"
"794","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"795","2024","Hombre","IE El Paraiso","Voleibol","Deportista","Yopal","Casanare"
"796","2024","Hombre","Liceo Infantil Siglo XXI","Fútbol Sala","Deportista","Yopal","Casanare"
"797","2024","Hombre","IE Braulio Gonzalez","Festivales Escolares","Deportista","Yopal","Casanare"
"798","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"799","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"800","2024","Hombre","IE Manuela Beltran","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"801","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"802","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"803","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"804","2024","Hombre","IE Lucila Piragauta","Baloncesto","Deportista","Yopal","Casanare"
"805","2024","Hombre","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"806","2024","Hombre","IE Centro Social","Ajedrez Integrado","Deportista","Yopal","Casanare"
"807","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"808","2024","Hombre","IE Centro Social","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"809","2024","Hombre","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"810","2024","Hombre","IE Luis Hernandez Vargas","Baloncesto 3x3","Deportista","Yopal","Casanare"
"811","2024","Hombre","Gimnasio Comfacasanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"812","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"813","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"814","2024","Hombre","Gimnasio Comfacasanare","Festivales Escolares","Deportista","Yopal","Casanare"
"815","2024","Hombre","IE Manuela Beltran","Fútbol Sala","Deportista","Yopal","Casanare"
"816","2024","Hombre","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"817","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"818","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Ajedrez Integrado","Deportista","Yopal","Casanare"
"819","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"820","2024","Hombre","IE Jorge ElIEcer Gaitan","Fútbol de Salón","Deportista","Yopal","Casanare"
"821","2024","Mujer","Instituto Tecnico Empresarial","Fútbol Sala","Deportista","Yopal","Casanare"
"822","2024","Hombre","IE Técnica Agropecuaria Lorgio Rodríguez","Tenis de Campo","Deportista","Yopal","Casanare"
"823","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"824","2024","Hombre","Instituto Pilosophia","Fútbol de Salón","Deportista","Yopal","Casanare"
"825","2024","Hombre","IE El Paraiso","Voleibol","Deportista","Yopal","Casanare"
"826","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"827","2024","Hombre","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"828","2024","Hombre","Instituto Tecnico Ambiental San Mateo","Fútbol Sala","Deportista","Yopal","Casanare"
"829","2024","Mujer","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Fútbol Sala","Deportista","Yopal","Casanare"
"830","2024","Mujer","Instituto Tecnico Empresarial","Atletismo","Deportista","Yopal","Casanare"
"831","2024","Mujer","IE Manuela Beltran","Karate Do","Deportista","Yopal","Casanare"
"832","2024","Mujer","IE La Campiña","Voleibol","Deportista","Yopal","Casanare"
"833","2024","Hombre","Gimnasio de los Llanos","Baloncesto","Deportista","Yopal","Casanare"
"834","2024","Hombre","IE Teresa de Calcuta","Fútbol Sala","Deportista","Yopal","Casanare"
"835","2024","Hombre","Liceo Escolar los Ángeles","Fútbol","Deportista","Yopal","Casanare"
"836","2024","Hombre","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"837","2024","Hombre","IE Antonio Nariño","Fútbol Sala","Deportista","Yopal","Casanare"
"838","2024","Hombre","Liceo Campestre Andino","Fútbol de Salón","Deportista","Yopal","Casanare"
"839","2024","Hombre","Liceo Escolar los Ángeles","Fútbol de Salón","Deportista","Yopal","Casanare"
"840","2024","Hombre","IE Centro Social","Fútbol de Salón","Deportista","Yopal","Casanare"
"841","2024","Hombre","IE Braulio Gonzalez","Fútbol de Salón","Deportista","Yopal","Casanare"
"842","2024","Hombre","IE La Campiña","Baloncesto","Deportista","Yopal","Casanare"
"843","2024","Hombre","Institucion Educativa Tecnica Agropecuaria La Inmaculada","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"844","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"845","2024","Hombre","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"846","2024","Hombre","IE Técnica Empresarial Llano Lindo Itell","Fútbol","Deportista","Yopal","Casanare"
"847","2024","Hombre","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"848","2024","Hombre","IE Manuela Beltran","Ajedrez Integrado","Deportista","Yopal","Casanare"
"849","2024","Hombre","IE Divino Salvador","Ajedrez Integrado","Deportista","Yopal","Casanare"
"850","2024","Hombre","Inst Autonomo Shakespeare Y Cervantes","Fútbol de Salón","Deportista","Yopal","Casanare"
"851","2024","Hombre","IE Braulio Gonzalez","Fútbol","Deportista","Yopal","Casanare"
"852","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"853","2024","Hombre","IE Braulio Gonzalez","Baloncesto 3x3","Deportista","Yopal","Casanare"
"854","2024","Mujer","IE Lucila Piragauta","Voleibol","Deportista","Yopal","Casanare"
"855","2024","Hombre","IE Santa Teresa","Fútbol Sala","Deportista","Yopal","Casanare"
"856","2024","Hombre","IE Divino Salvador","Fútbol de Salón","Deportista","Yopal","Casanare"
"857","2024","Mujer","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"858","2024","Mujer","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"859","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"860","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"861","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Judo","Deportista","Yopal","Casanare"
"862","2024","Mujer","Liceo Gustavo Matamoros Leon","Voleibol","Deportista","Yopal","Casanare"
"863","2024","Mujer","Instituto Tecnico Empresarial","Baloncesto","Deportista","Yopal","Casanare"
"864","2024","Mujer","Liceo Escolar los Ángeles","Ajedrez Integrado","Deportista","Yopal","Casanare"
"865","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"866","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"867","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol Sala","Deportista","Yopal","Casanare"
"868","2024","Hombre","IE Braulio Gonzalez","Festivales Escolares","Deportista","Yopal","Casanare"
"869","2024","Hombre","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"870","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"871","2024","Mujer","Instituto Tecnico Empresarial","Mini Baloncesto","Deportista","Yopal","Casanare"
"872","2024","Mujer","IE Luis Hernandez Vargas","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"873","2024","Mujer","IE Divino Salvador","Fútbol de Salón","Deportista","Yopal","Casanare"
"874","2024","Mujer","IE Manuela Beltran","Voleibol","Deportista","Yopal","Casanare"
"875","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Ajedrez Integrado","Deportista","Yopal","Casanare"
"876","2024","Hombre","IE Braulio Gonzalez","Fútbol de Salón","Deportista","Yopal","Casanare"
"877","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Boxeo","Deportista","Yopal","Casanare"
"878","2024","Mujer","IE Carlos Lleras Restrepo","Fútbol Sala","Deportista","Yopal","Casanare"
"879","2024","Mujer","Institucion Educativa Megacolegio El Progreso","Fútbol Sala","Deportista","Yopal","Casanare"
"880","2024","Mujer","IE Manuela Beltran","Ajedrez Integrado","Deportista","Yopal","Casanare"
"881","2024","Mujer","IE Jorge ElIEcer Gaitan","Fútbol Sala","Deportista","Yopal","Casanare"
"882","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"883","2024","Hombre","IE Luis Carlos Galan SarmIEnto","Fútbol de Salón","Deportista","Yopal","Casanare"
"884","2024","Hombre","Colegio Bethel","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"885","2024","Hombre","Instituto Tecnico Empresarial","Voleibol","Deportista","Yopal","Casanare"
"886","2024","Hombre","IE Policarpa Salavarrieta","Fútbol","Deportista","Yopal","Casanare"
"887","2024","Hombre","Liceo Pedagógico Colombo Inglés","Fútbol Sala","Deportista","Yopal","Casanare"
"888","2024","Hombre","IE Teresa de Calcuta","Fútbol de Salón","Deportista","Yopal","Casanare"
"889","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"890","2024","Hombre","Institucion Educativa Megacolegio El Progreso","Fútbol Sala","Deportista","Yopal","Casanare"
"891","2024","Hombre","Gimnasio de los Llanos","Fútbol","Deportista","Yopal","Casanare"
"892","2024","Hombre","IE La Campiña","Baloncesto","Deportista","Yopal","Casanare"
"893","2024","Hombre","IE Luis Hernandez Vargas","Fútbol de Salón","Deportista","Yopal","Casanare"
"894","2024","Mujer","IE Centro Social","Voleibol","Deportista","Yopal","Casanare"
"895","2024","Hombre","IE Luis Hernandez Vargas","Fútbol","Deportista","Yopal","Casanare"
"896","2024","Hombre","IE Manuela Beltran","Fútbol Sala","Deportista","Yopal","Casanare"
"897","2024","Hombre","Liceo Gustavo Matamoros Leon","Fútbol","Deportista","Yopal","Casanare"
"898","2024","Hombre","Liceo Moderno Celestin Freinet Casanare","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"899","2024","Hombre","Liceo Pedagógico Colombo Inglés","Fútbol Sala","Deportista","Yopal","Casanare"
"900","2024","Hombre","Colegio Bethel","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"901","2024","Mujer","IE Braulio Gonzalez","Mini Baloncesto","Deportista","Yopal","Casanare"
"902","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Fútbol de Salón","Deportista","Yopal","Casanare"
"903","2024","Mujer","Colegio Alianza Pedagogica","Atletismo","Deportista","Yopal","Casanare"
"904","2024","Mujer","IE Luis Hernandez Vargas","Natación","Deportista","Yopal","Casanare"
"905","2024","Mujer","IE Luis Hernandez Vargas","Voleibol","Deportista","Yopal","Casanare"
"906","2024","Mujer","Instituto Tecnico Ambiental San Mateo","Voleibol","Deportista","Yopal","Casanare"
"907","2024","Mujer","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"908","2024","Mujer","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"909","2024","Mujer","IE Luis Hernandez Vargas","Atletismo","Deportista","Yopal","Casanare"
"910","2024","Mujer","IE Centro Social","Fútbol Sala","Deportista","Yopal","Casanare"
"911","2024","Mujer","Colegio Bethel","Voleibol","Deportista","Yopal","Casanare"
"912","2024","Mujer","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"913","2024","Mujer","IE Técnica Empresarial Llano Lindo Itell","Atletismo","Deportista","Yopal","Casanare"
"914","2024","Mujer","Instituto Tecnico Empresarial","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"915","2024","Mujer","IE Centro Social","Fútbol de Salón","Deportista","Yopal","Casanare"
"916","2024","Mujer","Gimnasio Comfacasanare","Voleibol","Deportista","Yopal","Casanare"
"917","2024","Hombre","IE Centro Social","Karate Do","Deportista","Yopal","Casanare"
"918","2024","Hombre","Instituto Tecnico Empresarial","Judo","Deportista","Yopal","Casanare"
"919","2024","Hombre","Liceo Infantil Siglo XXI","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"920","2024","Hombre","IE Manuela Beltran","Ajedrez Integrado","Deportista","Yopal","Casanare"
"921","2024","Hombre","Gimnasio Comfacasanare","Fútbol","Deportista","Yopal","Casanare"
"922","2024","Hombre","IE Lucila Piragauta","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"923","2024","Hombre","IE Braulio Gonzalez","Mini Fútbol Sala","Deportista","Yopal","Casanare"
"924","2024","Hombre","Gimnasio de los Llanos","Voleibol","Deportista","Yopal","Casanare"
